advertisement_id,product_id,user_id,is_allowed_bid,title,description,timestamp_ad
1,4,80,True,Officiis,Officiis velit nam neque voluptas quidem. Nam est illo doloremque sequi dignissimos minus. Possimus possimus temporibus molestias.,2022-04-24 09:28:23
2,4,43,True,Consequatur,Consequatur reiciendis quos cumque quo reprehenderit. Magnam autem in libero voluptatem mollitia in error.,2021-09-08 09:55:09
3,25,10,False,Sequi,"Sequi nam exercitationem eius cum. Occaecati autem cumque nobis at.
Iste repellendus neque. Totam adipisci ratione necessitatibus sunt mollitia. Modi accusamus sit aperiam.",2022-01-05 22:36:32
4,38,66,False,Odit,"Odit vitae assumenda. Maxime rerum consequatur. Porro saepe sequi sit quod molestiae.
Blanditiis minima doloribus quaerat nesciunt. Nostrum doloremque nostrum quam quaerat voluptas fugiat.",2022-01-11 15:34:54
5,37,88,True,Minus,"Minus odio harum doloremque sunt assumenda. Ad aut eum.
Eveniet recusandae fuga optio. Officiis sit itaque suscipit nesciunt nam perspiciatis.",2022-07-08 11:47:02
6,2,74,False,Voluptate,Voluptate maiores eligendi repellendus harum aliquam modi nisi. Pariatur adipisci dignissimos distinctio.,2021-10-27 01:07:03
7,40,43,False,Autem,Autem porro qui omnis dolores qui ipsa. Tempora ipsa quisquam a. Esse quia earum consequuntur. Pariatur sint repellat debitis eum corrupti.,2021-10-15 04:48:27
8,15,88,False,Doloribus,Doloribus culpa possimus. Vero ipsa aperiam veritatis incidunt. Maiores dignissimos repellendus aliquid incidunt.,2022-10-01 11:07:09
9,13,31,True,Officiis,"Officiis animi aperiam omnis nostrum. Numquam fugit laboriosam assumenda deserunt rerum ad laudantium.
Saepe saepe unde sapiente doloribus.
Repudiandae sit accusantium mollitia atque tempora debitis.",2021-08-24 08:40:38
10,42,12,True,Voluptas,Voluptas quibusdam quo quasi ut. Laudantium ipsum dolor accusamus molestiae. Quos voluptatum earum nemo.,2022-04-01 01:22:38
11,36,53,True,Reprehenderit,Reprehenderit dolorum voluptatem asperiores consequuntur rerum quisquam. Deserunt saepe molestias corrupti. Temporibus officiis recusandae fugit iste tenetur labore.,2023-01-12 14:15:03
12,36,11,False,Reprehenderit,Reprehenderit inventore occaecati nisi. Eum aperiam illo quis repellat odit. Molestias cumque sit dolorem qui ea reprehenderit aliquid. Aperiam inventore deleniti eos delectus.,2022-10-06 15:28:34
13,28,51,True,Assumenda,Assumenda id temporibus deserunt. Voluptatibus architecto laboriosam. Odit quaerat autem enim beatae aut. Enim fugit fuga dignissimos velit tempore recusandae quod.,2023-01-03 01:40:07
14,16,13,True,Molestiae,Molestiae nihil eveniet incidunt. Voluptate quo hic quaerat nulla aspernatur. Sit vero consequatur earum voluptas repellat.,2021-08-18 06:23:51
15,13,54,False,Porro,Porro sint aut placeat. Explicabo veritatis mollitia ratione. Provident tenetur dolore beatae laboriosam unde.,2021-11-20 18:34:42
16,24,91,False,Fugiat,Fugiat porro autem cum veritatis non in laborum. Cupiditate optio numquam saepe architecto quidem delectus ipsam. Veritatis optio ab quidem provident maxime.,2021-09-22 10:35:03
17,6,90,False,Eum,"Eum laboriosam enim quaerat molestiae ipsa. Reiciendis placeat iure voluptatem.
Blanditiis doloribus quaerat explicabo. Hic necessitatibus consequatur odio totam beatae minus.",2022-10-16 06:18:06
18,44,58,True,Eveniet,"Eveniet consectetur in excepturi ipsa reprehenderit quas. Accusantium voluptates nam. Enim dignissimos ut sapiente.
Architecto aut corrupti voluptate. Culpa commodi distinctio repudiandae inventore.",2023-03-17 12:03:06
19,26,21,True,Voluptatem,Voluptatem quae nulla voluptatibus cumque. Sunt veritatis aut excepturi corrupti. Voluptatibus nam rem modi.,2021-06-30 12:34:41
20,18,32,False,Velit,"Velit explicabo quaerat odit saepe nam. Quibusdam assumenda debitis at maiores beatae facere.
Voluptatum debitis vero in facilis. Facere tempora magnam enim nostrum distinctio asperiores provident.",2022-06-04 20:06:49
21,33,81,True,Est,Est eaque ab culpa aspernatur quidem dolore possimus. Reprehenderit minus architecto sunt omnis sapiente. Id nesciunt tempora.,2021-05-30 09:02:05
22,9,23,False,Dignissimos,"Dignissimos veritatis rem laborum assumenda. In dolores deleniti aspernatur ratione et nemo libero.
Similique illum pariatur quia. Tempora ex a quis officiis.",2022-12-13 08:30:11
23,35,60,False,Delectus,Delectus ullam ducimus suscipit officiis hic distinctio. Id aut possimus dignissimos totam consequuntur nulla quo.,2022-01-31 22:16:28
24,38,12,False,Iste,"Iste quae qui molestiae. Nulla perferendis magni provident consequatur nesciunt. Nulla repellendus quo maxime soluta quidem quidem quibusdam.
Exercitationem impedit eum velit aut veritatis fugiat.",2022-12-20 00:04:29
25,45,16,True,Nobis,Nobis error magnam hic quasi. Dicta iure explicabo. Commodi velit fuga pariatur culpa. Repellendus quibusdam iusto perferendis tempore.,2021-06-28 14:30:21
26,47,96,True,Est,Est nesciunt dolore necessitatibus accusamus. Facilis possimus eligendi eos. Vero ullam reprehenderit ratione voluptas dignissimos excepturi.,2022-11-04 11:26:47
27,46,73,True,Recusandae,"Recusandae assumenda dignissimos occaecati quaerat ratione iure. Corporis amet architecto nihil eum. Ipsum a quisquam.
Exercitationem deserunt exercitationem in. Doloribus sint incidunt in.",2022-01-30 18:10:07
28,48,61,False,Magnam,"Magnam suscipit quod repellendus accusantium fugit. Eius earum sint amet magni.
Praesentium magnam nesciunt nesciunt sint. Ipsam nihil reprehenderit porro soluta ipsum voluptates.",2022-12-13 00:05:19
29,13,99,False,Dolores,Dolores natus deserunt aliquid tempora molestias dolorem. Totam ipsum suscipit dolores cumque.,2023-02-08 13:07:29
30,47,47,True,Unde,"Unde provident aspernatur voluptatem. Voluptatem aliquam repellendus impedit provident.
Libero officiis voluptatum.
Repellat possimus quas labore corporis labore illo.",2023-04-09 07:46:29
